TRACT_CODE,TENURE_RENT,TENURE_TOT,TENURE_OWN,B25064_001E_2011,B25064_001E_2016,Rent_Percent_Change
84006001400100,128,1292,1164,2001,3202,0.6001999
84006001400200,282,813,531,1497,1770,0.182364729
84006001400300,1303,2439,1136,1058,1208,0.141776938
84006001400400,1090,1798,708,1423,1584,0.113141251
84006001400500,1034,1643,609,1024,1438,0.404296875
84006001400600,394,713,319,1025,1221,0.191219512
84006001400700,1143,1787,644,1247,1197,-0.040096231
84006001400800,1008,1580,572,1122,1329,0.184491979
84006001400900,720,1025,305,1159,1457,0.257118205
84006001401000,1826,2619,793,1137,1191,0.047493404
84006001401100,1500,2032,532,1036,1324,0.277992278
84006001401200,794,1231,437,1291,1371,0.061967467
84006001401300,1476,1705,229,928,972,0.047413793
84006001401400,1317,1544,227,888,982,0.105855856
84006001401500,655,1023,368,754,1029,0.364721485
84006001401600,611,781,170,1050,1183,0.126666667
84006001401700,626,1231,605,1343,1229,-0.084884587
84006001401800,563,731,168,815,944,0.158282209
84006001402200,539,838,299,931,956,0.026852846
84006001402400,958,1151,193,920,840,-0.086956522
84006001402500,602,704,102,414,746,0.801932367
84006001402600,553,654,101,744,801,0.076612903
84006001402700,599,680,81,959,1072,0.117831074
84006001402800,2165,2295,130,503,771,0.532803181
84006001402900,848,853,5,663,886,0.336349925
84006001403000,1261,1611,350,473,631,0.334038055
84006001403100,516,712,196,590,909,0.540677966
84006001403300,1672,2158,486,1424,1414,-0.007022472
84006001403400,2470,2746,276,982,1135,0.155804481
84006001403501,2255,2583,328,888,1010,0.137387387
84006001403502,903,1170,267,1114,1426,0.280071813
84006001403600,2140,2530,390,1176,1317,0.119897959
84006001403701,1472,1683,211,1092,1306,0.195970696
84006001403702,847,1123,276,1295,1621,0.251737452
84006001403800,1221,1808,587,1290,1477,0.14496124
84006001403900,1472,2244,772,1212,1379,0.137788779
84006001404000,1161,1650,489,1156,1323,0.144463668
84006001404101,1018,1679,661,1234,1523,0.234197731
84006001404102,1261,1515,254,1008,1279,0.268849206
84006001404200,283,1285,1002,1904,2263,0.18855042
84006001404300,228,1252,1024,2001,1773,-0.113943028
84006001404400,338,2317,1979,2001,2280,0.139430285
84006001404501,94,679,585,2001,1804,-0.098450775
84006001404502,282,2339,2057,2001,2262,0.130434783
84006001404600,140,1761,1621,1658,2750,0.658624849
84006001404700,74,795,721,1838,2409,0.310663765
84006001404800,643,1243,600,954,1105,0.158280922
84006001404900,749,1945,1196,1147,1112,-0.030514385
84006001405000,553,1476,923,1579,1522,-0.036098797
84006001405100,150,1565,1415,1493,1428,-0.043536504
84006001405200,1767,2391,624,1168,1368,0.171232877
84006001405301,1349,1517,168,1131,1278,0.129973475
84006001405302,1426,1488,62,807,950,0.177199504
84006001405401,1448,1655,207,943,993,0.053022269
84006001405402,1024,1155,131,919,1138,0.238302503
84006001405500,1311,1615,304,1094,1128,0.031078611
84006001405600,948,1411,463,998,1185,0.187374749
84006001405700,1042,1372,330,944,1044,0.105932203
84006001405800,843,1320,477,971,1179,0.214212152
84006001405901,715,1057,342,963,928,-0.036344756
84006001405902,678,916,238,1021,968,-0.051909892
84006001406000,1289,1448,159,943,745,-0.209968187
84006001406100,1033,1496,463,957,1343,0.403343783
84006001406201,1091,1352,261,928,997,0.074353448
84006001406202,1163,1305,142,936,987,0.054487179
84006001406300,774,1203,429,887,1062,0.19729425
84006001406400,436,716,280,883,1370,0.551528879
84006001406500,1430,2018,588,975,1152,0.181538462
84006001406601,885,1679,794,1070,1361,0.271962617
84006001406602,662,959,297,939,1085,0.155484558
84006001406700,829,2130,1301,1053,1334,0.2668566
84006001406800,449,1368,919,1175,1386,0.179574468
84006001406900,757,1528,771,1134,1410,0.243386243
84006001407000,1084,1953,869,1037,1259,0.214079074
84006001407101,661,1020,359,918,1024,0.11546841
84006001407102,677,1288,611,918,1130,0.230936819
84006001407200,1426,1801,375,913,1013,0.109529025
84006001407300,530,744,214,1329,1503,0.130925508
84006001407400,826,1147,321,919,1064,0.157780196
84006001407500,924,1279,355,889,949,0.067491564
84006001407600,996,2186,1190,949,952,0.003161222
84006001407700,505,1646,1141,1304,2016,0.54601227
84006001407800,253,759,506,1742,1048,-0.398392652
84006001407900,268,1113,845,1597,1632,0.021916093
84006001408000,137,970,833,2001,3159,0.578710645
84006001408100,490,2662,2172,1519,1806,0.188940092
84006001408200,1005,1703,698,993,1199,0.207452165
84006001408300,660,1762,1102,1275,1079,-0.15372549
84006001408400,666,1086,420,1239,1222,-0.013720743
84006001408500,1098,1617,519,1083,1291,0.192059095
84006001408600,1120,1811,691,941,1142,0.21360255
84006001408700,1543,2325,782,1099,1272,0.157415833
84006001408800,1607,1950,343,866,769,-0.112009238
84006001408900,664,944,280,1032,1095,0.061046512
84006001409000,533,1038,505,1269,1442,0.136327817
84006001409100,240,634,394,1117,1550,0.387645479
84006001409200,463,923,460,1178,1301,0.104414261
84006001409300,876,1553,677,1039,1201,0.155919153
84006001409400,772,1230,458,1024,1301,0.270507813
84006001409500,808,1117,309,1035,1134,0.095652174
84006001409600,891,1382,491,1316,1138,-0.135258359
84006001409700,972,1524,552,1042,1290,0.238003839
84006001409800,604,1255,651,913,986,0.079956188
84006001409900,182,1383,1201,1480,1446,-0.022972973
84006001410000,69,1197,1128,1375,1674,0.217454545
84006001410100,427,992,565,1181,1019,-0.137171888
84006001410200,655,1146,491,1030,1062,0.031067961
84006001410300,622,946,324,1090,1216,0.11559633
84006001410400,516,1397,881,1241,1414,0.139403707
84006001410500,875,961,86,411,599,0.457420925
84006001420100,306,870,564,1817,2065,0.136488718
84006001420200,721,1240,519,1338,1561,0.166666667
84006001420300,994,1955,961,1466,1542,0.051841746
84006001420400,1177,1177,0,1648,1700,0.031553398
84006001420500,480,934,454,1330,1640,0.233082707
84006001420600,283,1219,936,1631,1491,-0.08583691
84006001421100,67,860,793,2001,2816,0.407296352
84006001421200,212,1521,1309,1330,1500,0.127819549
84006001421300,398,1638,1240,1555,1628,0.046945338
84006001421400,103,650,547,2001,1808,-0.096451774
84006001421500,270,1579,1309,1681,2503,0.488994646
84006001421600,380,1583,1203,1167,1764,0.511568123
84006001421700,997,1605,608,1538,1521,-0.011053316
84006001421800,300,938,638,1384,1691,0.221820809
84006001421900,581,1711,1130,1471,1586,0.07817811
84006001422000,702,884,182,686,1637,1.386297376
84006001422100,523,1142,619,974,1372,0.40862423
84006001422200,957,1613,656,1047,1408,0.344794651
84006001422300,1215,1753,538,1334,1531,0.147676162
84006001422400,1866,2123,257,1329,1499,0.127915726
84006001422500,1171,1454,283,1272,1523,0.197327044
84006001422600,0,21,21,-666666666,-666666666,0
84006001422700,878,1019,141,1314,1416,0.077625571
84006001422800,1356,1389,33,1106,1284,0.160940325
84006001422900,1913,1958,45,1166,1389,0.191252144
84006001423000,1104,1953,849,1243,1693,0.362027353
84006001423100,1317,2011,694,992,1296,0.306451613
84006001423200,770,1130,360,1172,1375,0.173208191
84006001423300,798,1665,867,1009,1295,0.283448959
84006001423400,1092,2084,992,1078,1365,0.266233766
84006001423500,1060,1473,413,1134,1124,-0.008818342
84006001423601,650,1170,520,1227,1573,0.28198859
84006001423602,1963,2262,299,1413,1384,-0.020523708
84006001423700,775,1359,584,1107,1272,0.149051491
84006001423800,281,1289,1008,1486,2093,0.408479139
84006001423901,531,859,328,952,1185,0.244747899
84006001423902,495,726,231,1262,1697,0.344690967
84006001424001,1112,1543,431,1159,1380,0.190681622
84006001424002,530,958,428,1007,1211,0.202581927
84006001425101,597,1161,564,1408,1530,0.086647727
84006001425102,1221,1798,577,1868,2151,0.151498929
84006001425103,851,1380,529,1680,2056,0.223809524
84006001425104,1304,1924,620,1248,1328,0.064102564
84006001426100,182,2216,2034,2001,2824,0.411294353
84006001426200,266,1709,1443,1939,2208,0.138731305
84006001427100,362,1401,1039,1307,1677,0.283091048
84006001427200,993,1663,670,1279,1337,0.045347928
84006001427300,974,1936,962,1122,1265,0.12745098
84006001427600,1543,1838,295,1263,1575,0.247030879
84006001427700,1474,2284,810,1316,1528,0.161094225
84006001427800,1190,2009,819,1122,1416,0.262032086
84006001427900,1524,2211,687,1202,1473,0.225457571
84006001428000,1173,1390,217,1104,1319,0.194746377
84006001428100,914,1943,1029,1335,1298,-0.027715356
84006001428200,1168,2708,1540,1558,1555,-0.001925546
84006001428301,566,2509,1943,2001,2025,0.011994003
84006001428302,584,2662,2078,2001,1935,-0.032983508
84006001428400,1360,1852,492,1185,1406,0.18649789
84006001428500,924,1428,504,1455,1604,0.102405498
84006001428600,735,1551,816,1423,2039,0.432888264
84006001428700,849,1293,444,643,1085,0.687402799
84006001430101,288,2248,1960,2001,2949,0.473763118
84006001430102,143,867,724,979,1957,0.99897855
84006001430200,135,2506,2371,2001,2244,0.12143928
84006001430300,241,1292,1051,1326,1946,0.467571644
84006001430400,73,729,656,891,2205,1.474747475
84006001430500,767,2031,1264,1294,1247,-0.036321484
84006001430600,437,2188,1751,1699,1783,0.049440848
84006001430700,313,1329,1016,1314,1843,0.402587519
84006001430800,971,2204,1233,1476,1376,-0.067750678
84006001430900,1418,1801,383,1216,1418,0.166118421
84006001431000,698,1102,404,1134,1485,0.30952381
84006001431100,1069,1374,305,1203,1286,0.068994181
84006001431200,1165,2489,1324,1385,1504,0.085920578
84006001432100,412,1484,1072,1015,1425,0.403940887
84006001432200,965,1707,742,1136,1404,0.235915493
84006001432300,646,1709,1063,1001,1176,0.174825175
84006001432400,1100,1852,752,1334,1399,0.048725637
84006001432501,716,1469,753,1107,1364,0.232158988
84006001432502,719,1522,803,1112,1402,0.260791367
84006001432600,2141,3036,895,1135,1265,0.114537445
84006001432700,335,1064,729,1389,1536,0.105831533
84006001432800,222,1352,1130,1250,1230,-0.016
84006001433000,440,1342,902,1689,1654,-0.020722321
84006001433102,401,1329,928,1242,1389,0.118357488
84006001433103,1249,1590,341,1062,1158,0.09039548
84006001433104,1294,1858,564,1129,1321,0.170062002
84006001433200,1749,2774,1025,1156,1194,0.032871972
84006001433300,513,2271,1758,1623,1734,0.068391867
84006001433400,520,2292,1772,1459,1720,0.17888965
84006001433500,227,1405,1178,1196,1663,0.390468227
84006001433600,1092,2158,1066,1363,1216,-0.10785033
84006001433700,661,1040,379,1109,1231,0.110009017
84006001433800,1521,2571,1050,1212,1363,0.124587459
84006001433900,2032,2398,366,1068,1220,0.142322097
84006001434000,1226,1821,595,957,1119,0.169278997
84006001435102,417,1571,1154,1750,1842,0.052571429
84006001435103,150,2206,2056,1899,2943,0.549763033
84006001435104,1625,2038,413,1349,1561,0.157153447
84006001435200,275,1443,1168,1366,1338,-0.020497804
84006001435300,909,1563,654,1207,1349,0.117647059
84006001435400,1321,1761,440,1132,1301,0.149293286
84006001435500,981,1412,431,1160,1231,0.061206897
84006001435601,1224,1627,403,1139,1308,0.148375768
84006001435602,1027,1636,609,1126,1354,0.202486679
84006001435700,426,1385,959,1391,1465,0.053199137
84006001435800,374,1645,1271,1567,1740,0.110402042
84006001435900,379,1611,1232,1883,1774,-0.057886352
84006001436000,288,1407,1119,1991,1796,-0.097940733
84006001436100,778,1819,1041,1040,1142,0.098076923
84006001436200,1073,1275,202,1202,1194,-0.006655574
84006001436300,1524,2604,1080,1207,1426,0.181441591
84006001436401,1636,3013,1377,1182,1439,0.217428088
84006001436402,112,1021,909,2001,2439,0.218890555
84006001436500,1293,1715,422,1199,1400,0.1676397
84006001436601,1195,1854,659,1180,1332,0.128813559
84006001436602,1339,1667,328,1123,1228,0.093499555
84006001436700,467,1021,554,1411,1787,0.266477675
84006001436800,723,1338,615,1322,1467,0.1096823
84006001436900,1023,1784,761,1172,1334,0.138225256
84006001437000,259,1242,983,1658,1551,-0.064535585
84006001437101,258,1907,1649,1679,2175,0.295413937
84006001437102,665,1391,726,1289,1299,0.007757952
84006001437200,900,2301,1401,1330,1733,0.303007519
84006001437300,404,915,511,1229,1389,0.130187144
84006001437400,211,907,696,1517,1944,0.281476599
84006001437500,948,1177,229,1255,1375,0.09561753
84006001437600,417,890,473,1162,1354,0.165232358
84006001437701,808,1059,251,1188,1252,0.053872054
84006001437702,1010,1094,84,1157,1281,0.107173725
84006001437800,391,1373,982,1586,1703,0.073770492
84006001437900,365,660,295,1202,1402,0.166389351
84006001438000,373,1097,724,1422,1844,0.29676512
84006001438100,537,2057,1520,1314,2125,0.617199391
84006001438201,289,1187,898,1200,1514,0.261666667
84006001438203,348,1212,864,1753,1304,-0.256132345
84006001438204,364,1809,1445,1623,1757,0.082563155
84006001438300,293,890,597,1971,1949,-0.011161847
84006001438400,114,693,579,1854,1232,-0.335490831
84006001440100,518,1002,484,1445,2023,0.4
84006001440200,814,1503,689,1219,1470,0.205906481
84006001440301,528,2081,1553,1055,1449,0.373459716
84006001440304,412,1268,856,1458,1646,0.128943759
84006001440305,178,971,793,2001,2347,0.172913543
84006001440306,433,1032,599,1904,1906,0.00105042
84006001440307,375,1492,1117,972,1607,0.653292181
84006001440308,902,1917,1015,1128,1693,0.500886525
84006001440331,476,919,443,1390,1629,0.171942446
84006001440332,108,879,771,2001,3235,0.616691654
84006001440333,131,812,681,2001,2288,0.143428286
84006001440334,192,1051,859,1592,2033,0.27701005
84006001440335,963,2196,1233,1500,1789,0.192666667
84006001440336,659,1442,783,1427,1872,0.311843027
84006001441100,377,1584,1207,1417,1601,0.1298518
84006001441200,972,2542,1570,1273,1723,0.353495679
84006001441301,635,1168,533,1695,2124,0.253097345
84006001441302,537,1822,1285,1446,1829,0.264868603
84006001441401,762,2325,1563,1168,1975,0.690924658
84006001441402,396,1644,1248,1620,2317,0.430246914
84006001441501,255,1781,1526,2001,1971,-0.014992504
84006001441503,505,2020,1515,1699,2377,0.39905827
84006001441521,412,1799,1387,2001,2322,0.16041979
84006001441522,321,1481,1160,1791,2094,0.169179229
84006001441523,748,1419,671,1659,2002,0.206751055
84006001441524,495,1302,807,1449,2034,0.403726708
84006001441601,201,1455,1254,1754,2135,0.217217788
84006001441602,1099,2263,1164,1323,1786,0.349962207
84006001441700,1187,2621,1434,1342,1462,0.089418778
84006001441800,973,2314,1341,1517,1754,0.1562294
84006001441921,813,1229,416,1847,2198,0.190037899
84006001441923,2235,2360,125,1333,1750,0.312828207
84006001441924,1041,2651,1610,1520,2019,0.328289474
84006001441925,2320,2837,517,1762,2051,0.164018161
84006001441926,1184,1448,264,1229,1618,0.316517494
84006001441927,1380,1790,410,1488,2064,0.387096774
84006001442000,76,1034,958,2001,1931,-0.034982509
84006001442100,188,1616,1428,2001,2218,0.108445777
84006001442200,287,2140,1853,2001,2597,0.297851074
84006001442301,705,1516,811,1321,1630,0.233913702
84006001442302,1385,2065,680,1246,1424,0.142857143
84006001442400,648,1975,1327,1626,1878,0.15498155
84006001442500,952,2219,1267,1424,1559,0.094803371
84006001442601,352,1301,949,1708,1790,0.048009368
84006001442602,719,1618,899,1323,1511,0.142101285
84006001442700,330,1037,707,1395,2089,0.497491039
84006001442800,229,925,696,1492,2235,0.497989276
84006001442900,749,2354,1605,1607,1985,0.235220909
84006001443001,274,833,559,1741,2175,0.249282022
84006001443002,564,1887,1323,1771,1974,0.114624506
84006001443102,180,1531,1351,2001,3071,0.534732634
84006001443103,95,1234,1139,2001,2800,0.39930035
84006001443104,565,1743,1178,1640,1822,0.11097561
84006001443105,89,1436,1347,2001,3019,0.508745627
84006001443200,62,1180,1118,2001,3500,0.749125437
84006001443301,174,1215,1041,1341,2470,0.841909023
84006001443321,668,1156,488,1482,1676,0.130904184
84006001443322,123,904,781,1867,2477,0.32672737
84006001444100,381,2531,2150,490,1614,2.293877551
84006001444200,372,1897,1525,1491,2112,0.416498994
84006001444301,291,1172,881,1179,1493,0.266327396
84006001444302,507,1254,747,1245,1449,0.163855422
84006001444400,645,1549,904,1404,1715,0.221509972
84006001444500,1209,2038,829,1533,1743,0.136986301
84006001444601,225,1526,1301,2001,2354,0.176411794
84006001444602,437,1555,1118,1712,1852,0.081775701
84006001450101,1227,1860,633,1918,2278,0.187695516
84006001450102,531,1360,829,1698,2305,0.357479388
84006001450200,1603,2446,843,1636,2001,0.223105134
84006001450300,486,1749,1263,1825,2274,0.246027397
84006001450400,439,2087,1648,1887,1551,-0.178060413
84006001450501,378,1307,929,1454,2109,0.450481431
84006001450502,209,1803,1594,1823,2402,0.317608338
84006001450601,180,1351,1171,1385,1642,0.185559567
84006001450602,970,3349,2379,1664,2101,0.262620192
84006001450603,293,1630,1337,2001,2418,0.208395802
84006001450604,426,1801,1375,1385,1861,0.34368231
84006001450605,310,1490,1180,1697,2018,0.189157336
84006001450606,304,2059,1755,2001,1937,-0.031984008
84006001450607,1441,2290,849,1391,1455,0.046010065
84006001450701,508,2892,2384,1660,1919,0.156024096
84006001450741,761,1924,1163,1465,1873,0.278498294
84006001450742,379,1868,1489,1783,1980,0.110487942
84006001450743,1387,2103,716,1653,2090,0.264367816
84006001450744,487,1701,1214,1447,2228,0.539737388
84006001450745,664,2209,1545,1813,1821,0.004412576
84006001450746,319,1336,1017,1909,1679,-0.120481928
84006001450750,1096,2028,932,1608,1791,0.11380597
84006001450751,261,2227,1966,2001,2846,0.422288856
84006001450752,211,1610,1399,1968,2684,0.363821138
84006001451101,403,2455,2052,1824,2025,0.110197368
84006001451102,35,1393,1358,1909,-666666666,-349223.9785
84006001451201,769,2608,1839,1371,1823,0.32968636
84006001451202,144,1515,1371,1818,2130,0.171617162
84006001451300,521,2351,1830,1827,2154,0.178981938
84006001451401,1005,2397,1392,1393,1658,0.190236899
84006001451403,150,770,620,1208,2151,0.780629139
84006001451404,1204,2033,829,1265,1634,0.291699605
84006001451501,632,1773,1141,1051,924,-0.120837298
84006001451503,631,2129,1498,982,1248,0.270875764
84006001451504,189,623,434,1453,2275,0.565726084
84006001451505,145,1189,1044,2001,2282,0.140429785
84006001451506,607,1115,508,1426,1645,0.153576438
84006001451601,506,1979,1473,1396,1533,0.098137536
84006001451602,1276,2891,1615,1368,1540,0.125730994
84006001451701,256,1047,791,1879,2228,0.185737094
84006001451703,228,1371,1143,1827,2179,0.192665572
84006001451704,582,1711,1129,1192,1516,0.271812081
84006001981900,24,24,0,1486,1857,0.249663526
84006001982000,7,29,22,-666666666,-666666666,0
84006001983200,32,310,278,1824,2536,0.390350877
84006001990000,0,0,0,-666666666,-666666666,0
84006013301000,344,1874,1530,1038,1431,0.378612717
84006013302005,906,2320,1414,920,1072,0.165217391
84006013302006,257,1249,992,1619,1689,0.043236566
84006013302007,687,2022,1335,1668,1540,-0.076738609
84006013302008,649,2172,1523,1265,1427,0.128063241
84006013302009,876,2017,1141,1887,2003,0.061473238
84006013302010,385,3213,2828,1732,2106,0.215935335
84006013303102,634,2468,1834,1213,1616,0.33223413
84006013303103,1552,3594,2042,1189,1738,0.461732548
84006013303201,1026,3060,2034,1993,1957,-0.018063221
84006013303202,575,2289,1714,2001,1849,-0.075962019
84006013303203,878,2927,2049,1932,2069,0.070910973
84006013303204,463,1590,1127,1134,1761,0.552910053
84006013303205,564,3282,2718,1932,2213,0.145445135
84006013304001,310,1412,1102,2001,2556,0.277361319
84006013304002,150,451,301,1393,1097,-0.212491027
84006013304003,345,1503,1158,2001,1965,-0.017991004
84006013304004,296,1595,1299,2001,2207,0.102948526
84006013304005,538,2198,1660,2001,2248,0.123438281
84006013305000,1715,2272,557,1073,1088,0.013979497
84006013306002,196,1036,840,1710,1333,-0.220467836
84006013306003,735,1695,960,1170,1199,0.024786325
84006013306004,534,1202,668,1274,1389,0.090266876
84006013307101,484,1443,959,1077,1409,0.308263695
84006013307102,939,1688,749,1246,1228,-0.014446228
84006013307201,527,1114,587,987,1042,0.055724417
84006013307202,1310,1489,179,1072,1057,-0.013992537
84006013307204,281,1239,958,1755,1650,-0.05982906
84006013307205,1471,2493,1022,1101,1305,0.185286104
84006013308001,760,2431,1671,1624,1544,-0.049261084
84006013308002,241,1397,1156,2001,2064,0.031484258
84006013309000,592,1251,659,1037,1190,0.147540984
84006013310000,976,1703,727,1085,1263,0.1640553
84006013311000,715,1484,769,1303,1353,0.038372985
84006013312000,519,781,262,931,566,-0.392051557
