"","GEOID","COCFLAG_2017","COC_FLAG_2018","Gain_Loss_2014_2016"
"1","06001400100",0,0,0
"2","06001400200",0,0,0
"3","06001400300",0,0,0
"4","06001400400",0,0,0
"5","06001400500",0,0,0
"6","06001400600",1,0,-1
"7","06001400700",1,0,-1
"8","06001400800",0,0,0
"9","06001400900",0,0,0
"10","06001401000",1,1,0
"11","06001401100",0,0,0
"12","06001401200",0,0,0
"13","06001401300",1,0,-1
"14","06001401400",1,1,0
"15","06001401500",1,1,0
"16","06001401600",1,1,0
"17","06001401700",1,0,-1
"18","06001401800",1,1,0
"19","06001402200",1,1,0
"20","06001402400",1,1,0
"21","06001402500",1,1,0
"22","06001402600",1,1,0
"23","06001402700",1,1,0
"24","06001402800",1,1,0
"25","06001402900",1,1,0
"26","06001403000",1,1,0
"27","06001403100",1,1,0
"28","06001403300",1,1,0
"29","06001403400",1,1,0
"30","06001403501",1,0,-1
"31","06001403502",0,0,0
"32","06001403600",0,0,0
"33","06001403701",0,0,0
"34","06001403702",0,0,0
"35","06001403800",0,0,0
"36","06001403900",0,0,0
"37","06001404000",0,0,0
"38","06001404101",0,0,0
"39","06001404102",0,0,0
"40","06001404200",0,0,0
"41","06001404300",0,0,0
"42","06001404400",0,0,0
"43","06001404501",0,0,0
"44","06001404502",0,0,0
"45","06001404600",0,0,0
"46","06001404700",0,0,0
"47","06001404800",0,0,0
"48","06001404900",0,0,0
"49","06001405000",0,0,0
"50","06001405100",0,0,0
"51","06001405200",0,0,0
"52","06001405301",0,0,0
"53","06001405302",1,1,0
"54","06001405401",1,1,0
"55","06001405402",1,1,0
"56","06001405500",1,1,0
"57","06001405600",1,1,0
"58","06001405700",1,1,0
"59","06001405800",1,1,0
"60","06001405901",1,1,0
"61","06001405902",1,1,0
"62","06001406000",1,1,0
"63","06001406100",1,1,0
"64","06001406201",1,1,0
"65","06001406202",1,1,0
"66","06001406300",1,1,0
"67","06001406400",1,1,0
"68","06001406500",1,1,0
"69","06001406601",1,1,0
"70","06001406602",1,1,0
"71","06001406700",0,0,0
"72","06001406800",0,0,0
"73","06001406900",0,0,0
"74","06001407000",1,1,0
"75","06001407101",1,1,0
"76","06001407102",1,1,0
"77","06001407200",1,1,0
"78","06001407300",1,1,0
"79","06001407400",1,1,0
"80","06001407500",1,1,0
"81","06001407600",1,1,0
"82","06001407700",0,0,0
"83","06001407800",1,0,-1
"84","06001407900",0,0,0
"85","06001408000",0,0,0
"86","06001408100",0,0,0
"87","06001408200",1,1,0
"88","06001408300",0,0,0
"89","06001408400",1,1,0
"90","06001408500",1,1,0
"91","06001408600",1,1,0
"92","06001408700",1,1,0
"93","06001408800",1,1,0
"94","06001408900",1,1,0
"95","06001409000",1,1,0
"96","06001409100",1,1,0
"97","06001409200",1,1,0
"98","06001409300",1,1,0
"99","06001409400",1,1,0
"100","06001409500",1,1,0
"101","06001409600",1,1,0
"102","06001409700",1,1,0
"103","06001409800",1,1,0
"104","06001409900",0,0,0
"105","06001410000",0,0,0
"106","06001410100",1,1,0
"107","06001410200",1,1,0
"108","06001410300",1,1,0
"109","06001410400",1,0,-1
"110","06001410500",1,1,0
"111","06001420100",0,0,0
"112","06001420200",0,0,0
"113","06001420300",0,0,0
"114","06001420400",1,1,0
"115","06001420500",0,0,0
"116","06001420600",0,0,0
"117","06001421100",0,0,0
"118","06001421200",0,0,0
"119","06001421300",0,0,0
"120","06001421400",0,0,0
"121","06001421500",0,0,0
"122","06001421600",0,0,0
"123","06001421700",0,0,0
"124","06001421800",0,0,0
"125","06001421900",0,0,0
"126","06001422000",0,0,0
"127","06001422100",0,0,0
"128","06001422200",0,0,0
"129","06001422300",0,0,0
"130","06001422400",0,0,0
"131","06001422500",0,0,0
"132","06001422600",0,0,0
"133","06001422700",1,1,0
"134","06001422800",0,0,0
"135","06001422900",1,1,0
"136","06001423000",0,0,0
"137","06001423100",1,0,-1
"138","06001423200",0,1,1
"139","06001423300",0,0,0
"140","06001423400",0,0,0
"141","06001423500",1,0,-1
"142","06001423601",0,0,0
"143","06001423602",0,1,1
"144","06001423700",0,0,0
"145","06001423800",0,0,0
"146","06001423901",0,0,0
"147","06001423902",0,0,0
"148","06001424001",1,1,0
"149","06001424002",1,0,-1
"150","06001425101",0,0,0
"151","06001425102",0,0,0
"152","06001425103",0,0,0
"153","06001425104",0,0,0
"154","06001426100",0,0,0
"155","06001426200",0,0,0
"156","06001427100",0,0,0
"157","06001427200",0,0,0
"158","06001427300",0,0,0
"159","06001427600",1,1,0
"160","06001427700",0,0,0
"161","06001427800",0,0,0
"162","06001427900",0,0,0
"163","06001428000",0,0,0
"164","06001428100",0,0,0
"165","06001428200",0,0,0
"166","06001428301",0,0,0
"167","06001428302",0,0,0
"168","06001428400",0,0,0
"169","06001428500",0,0,0
"170","06001428600",0,0,0
"171","06001428700",1,0,-1
"172","06001430101",0,0,0
"173","06001430102",0,0,0
"174","06001430200",0,0,0
"175","06001430300",0,0,0
"176","06001430400",0,0,0
"177","06001430500",0,1,1
"178","06001430600",0,0,0
"179","06001430700",0,0,0
"180","06001430800",0,0,0
"181","06001430900",0,0,0
"182","06001431000",0,0,0
"183","06001431100",0,1,1
"184","06001431200",0,0,0
"185","06001432100",0,0,0
"186","06001432200",0,0,0
"187","06001432300",0,0,0
"188","06001432400",1,1,0
"189","06001432501",1,1,0
"190","06001432502",1,1,0
"191","06001432600",1,1,0
"192","06001432700",0,0,0
"193","06001432800",0,0,0
"194","06001433000",0,0,0
"195","06001433102",0,0,0
"196","06001433103",1,1,0
"197","06001433104",1,1,0
"198","06001433200",1,1,0
"199","06001433300",0,0,0
"200","06001433400",0,0,0
"201","06001433500",0,0,0
"202","06001433600",1,0,-1
"203","06001433700",1,0,-1
"204","06001433800",1,1,0
"205","06001433900",1,1,0
"206","06001434000",1,1,0
"207","06001435102",0,0,0
"208","06001435103",0,0,0
"209","06001435104",1,1,0
"210","06001435200",0,0,0
"211","06001435300",1,1,0
"212","06001435400",1,1,0
"213","06001435500",1,1,0
"214","06001435601",1,1,0
"215","06001435602",1,1,0
"216","06001435700",0,0,0
"217","06001435800",0,0,0
"218","06001435900",0,0,0
"219","06001436000",0,0,0
"220","06001436100",0,0,0
"221","06001436200",1,1,0
"222","06001436300",1,1,0
"223","06001436401",1,0,-1
"224","06001436402",0,0,0
"225","06001436500",1,1,0
"226","06001436601",1,1,0
"227","06001436602",1,1,0
"228","06001436700",1,0,-1
"229","06001436800",1,1,0
"230","06001436900",1,1,0
"231","06001437000",0,0,0
"232","06001437101",0,0,0
"233","06001437102",0,1,1
"234","06001437200",0,0,0
"235","06001437300",1,1,0
"236","06001437400",1,0,-1
"237","06001437500",1,1,0
"238","06001437600",1,1,0
"239","06001437701",1,1,0
"240","06001437702",1,1,0
"241","06001437800",0,0,0
"242","06001437900",1,1,0
"243","06001438000",0,0,0
"244","06001438100",0,0,0
"245","06001438201",1,1,0
"246","06001438203",0,0,0
"247","06001438204",0,0,0
"248","06001438300",1,1,0
"249","06001438400",0,0,0
"250","06001440100",0,0,0
"251","06001440200",1,1,0
"252","06001440301",1,0,-1
"253","06001440304",0,0,0
"254","06001440305",0,0,0
"255","06001440306",0,1,1
"256","06001440307",0,0,0
"257","06001440308",0,0,0
"258","06001440331",1,1,0
"259","06001440332",0,0,0
"260","06001440333",0,0,0
"261","06001440334",0,0,0
"262","06001440335",0,0,0
"263","06001440336",1,0,-1
"264","06001441100",0,0,0
"265","06001441200",0,0,0
"266","06001441301",0,0,0
"267","06001441302",0,0,0
"268","06001441401",0,0,0
"269","06001441402",0,0,0
"270","06001441501",0,0,0
"271","06001441503",0,0,0
"272","06001441521",0,0,0
"273","06001441522",0,0,0
"274","06001441523",0,0,0
"275","06001441524",0,0,0
"276","06001441601",0,0,0
"277","06001441602",0,0,0
"278","06001441700",0,0,0
"279","06001441800",0,0,0
"280","06001441921",0,0,0
"281","06001441923",1,0,-1
"282","06001441924",0,0,0
"283","06001441925",0,0,0
"284","06001441926",0,0,0
"285","06001441927",0,0,0
"286","06001442000",0,0,0
"287","06001442100",0,0,0
"288","06001442200",0,0,0
"289","06001442301",0,0,0
"290","06001442302",0,0,0
"291","06001442400",0,0,0
"292","06001442500",0,0,0
"293","06001442601",0,0,0
"294","06001442602",0,0,0
"295","06001442700",0,0,0
"296","06001442800",0,0,0
"297","06001442900",0,0,0
"298","06001443001",0,0,0
"299","06001443002",0,0,0
"300","06001443102",0,0,0
"301","06001443103",0,0,0
"302","06001443104",0,0,0
"303","06001443105",0,0,0
"304","06001443200",0,0,0
"305","06001443301",0,0,0
"306","06001443321",0,0,0
"307","06001443322",0,0,0
"308","06001444100",0,0,0
"309","06001444200",0,0,0
"310","06001444301",0,0,0
"311","06001444302",1,1,0
"312","06001444400",0,0,0
"313","06001444500",0,0,0
"314","06001444601",0,0,0
"315","06001444602",0,0,0
"316","06001450101",0,0,0
"317","06001450102",0,0,0
"318","06001450200",0,0,0
"319","06001450300",0,0,0
"320","06001450400",0,0,0
"321","06001450501",0,0,0
"322","06001450502",0,0,0
"323","06001450601",0,0,0
"324","06001450602",0,0,0
"325","06001450603",0,0,0
"326","06001450604",0,0,0
"327","06001450605",0,0,0
"328","06001450606",0,0,0
"329","06001450607",0,0,0
"330","06001450701",0,0,0
"331","06001450741",0,0,0
"332","06001450742",0,0,0
"333","06001450743",0,0,0
"334","06001450744",0,0,0
"335","06001450745",0,0,0
"336","06001450746",0,0,0
"337","06001450750",0,0,0
"338","06001450751",0,0,0
"339","06001450752",0,0,0
"340","06001451101",0,0,0
"341","06001451102",0,0,0
"342","06001451201",0,0,0
"343","06001451202",0,0,0
"344","06001451300",0,0,0
"345","06001451401",0,0,0
"346","06001451403",0,0,0
"347","06001451404",0,0,0
"348","06001451501",0,0,0
"349","06001451503",0,0,0
"350","06001451504",0,0,0
"351","06001451505",0,0,0
"352","06001451506",0,0,0
"353","06001451601",0,0,0
"354","06001451602",0,0,0
"355","06001451701",0,0,0
"356","06001451703",0,0,0
"357","06001451704",0,0,0
"358","06001981900",0,0,0
"359","06001982000",0,0,0
"360","06001983200",0,0,0
"361","06013301000",0,0,0
"362","06013302005",0,0,0
"363","06013302006",0,0,0
"364","06013302007",0,0,0
"365","06013302008",0,0,0
"366","06013302009",1,1,0
"367","06013302010",0,0,0
"368","06013303102",0,0,0
"369","06013303103",0,0,0
"370","06013303201",0,0,0
"371","06013303202",0,0,0
"372","06013303203",0,0,0
"373","06013303204",0,0,0
"374","06013303205",0,0,0
"375","06013304001",0,0,0
"376","06013304002",0,0,0
"377","06013304003",0,0,0
"378","06013304004",0,0,0
"379","06013304005",0,0,0
"380","06013305000",1,1,0
"381","06013306002",0,0,0
"382","06013306003",1,0,-1
"383","06013306004",0,0,0
"384","06013307101",0,0,0
"385","06013307102",0,1,1
"386","06013307201",1,1,0
"387","06013307202",1,1,0
"388","06013307204",0,0,0
"389","06013307205",1,1,0
"390","06013308001",0,0,0
"391","06013308002",0,0,0
"392","06013309000",1,0,-1
"393","06013310000",1,1,0
"394","06013311000",1,1,0
"395","06013312000",1,1,0
"396","06013313101",1,1,0
"397","06013313102",0,0,0
"398","06013313103",0,0,0
"399","06013313203",0,0,0
"400","06013313204",1,1,0
"401","06013313205",0,0,0
"402","06013313206",1,1,0
"403","06013314102",1,1,0
"404","06013314103",1,1,0
"405","06013314104",1,1,0
"406","06013314200",1,1,0
"407","06013315000",0,0,0
"408","06013316000",1,1,0
"409","06013317000",0,0,0
"410","06013318000",0,0,0
"411","06013319000",0,0,0
"412","06013320001",0,0,0
"413","06013320003",0,0,0
"414","06013320004",0,0,0
"415","06013321101",0,0,0
"416","06013321102",0,0,0
"417","06013321103",0,0,0
"418","06013321200",0,0,0
"419","06013322000",0,0,0
"420","06013323000",0,0,0
"421","06013324001",0,0,0
"422","06013324002",0,0,0
"423","06013325000",0,0,0
"424","06013326000",0,0,0
"425","06013327000",0,0,0
"426","06013328000",1,1,0
"427","06013329000",0,0,0
"428","06013330000",0,0,0
"429","06013331000",0,0,0
"430","06013332000",0,0,0
"431","06013333101",0,0,0
"432","06013333102",0,0,0
"433","06013333200",0,0,0
"434","06013334001",0,0,0
"435","06013334004",0,0,0
"436","06013334006",0,0,0
"437","06013334200",0,0,0
"438","06013335000",0,0,0
"439","06013336101",1,1,0
"440","06013336102",1,1,0
"441","06013336201",1,1,0
"442","06013336202",1,1,0
"443","06013337100",0,0,0
"444","06013337200",0,0,0
"445","06013337300",0,0,0
"446","06013338101",0,0,0
"447","06013338102",0,0,0
"448","06013338201",0,0,0
"449","06013338203",0,0,0
"450","06013338204",0,0,0
"451","06013338301",0,0,0
"452","06013338302",0,0,0
"453","06013339001",0,0,0
"454","06013339002",0,0,0
"455","06013340001",0,0,0
"456","06013340002",0,0,0
"457","06013341000",0,0,0
"458","06013343001",0,0,0
"459","06013343002",0,0,0
"460","06013343003",0,0,0
"461","06013345101",0,0,0
"462","06013345102",0,0,0
"463","06013345103",0,0,0
"464","06013345105",0,0,0
"465","06013345108",0,0,0
"466","06013345111",0,0,0
"467","06013345112",0,0,0
"468","06013345113",0,0,0
"469","06013345114",0,0,0
"470","06013345115",0,0,0
"471","06013345116",0,0,0
"472","06013345202",0,0,0
"473","06013345203",0,0,0
"474","06013345204",0,0,0
"475","06013346101",0,0,0
"476","06013346102",0,0,0
"477","06013346201",0,0,0
"478","06013346203",0,0,0
"479","06013346204",0,0,0
"480","06013347000",0,0,0
"481","06013348000",0,0,0
"482","06013349000",0,0,0
"483","06013350000",0,0,0
"484","06013351101",0,0,0
"485","06013351102",0,0,0
"486","06013351103",0,0,0
"487","06013351200",0,0,0
"488","06013352101",0,0,0
"489","06013352102",0,0,0
"490","06013352201",0,0,0
"491","06013352202",0,0,0
"492","06013353001",0,0,0
"493","06013353002",0,0,0
"494","06013354001",0,0,0
"495","06013354002",0,0,0
"496","06013355107",0,0,0
"497","06013355108",0,0,0
"498","06013355109",0,0,0
"499","06013355110",0,0,0
"500","06013355111",0,0,0
"501","06013355112",0,0,0
"502","06013355113",0,0,0
"503","06013355114",0,0,0
"504","06013355115",0,0,0
"505","06013355116",0,0,0
"506","06013355117",0,0,0
"507","06013355200",0,0,0
"508","06013355301",0,0,0
"509","06013355302",0,0,0
"510","06013355304",0,0,0
"511","06013355306",0,0,0
"512","06013356001",0,0,0
"513","06013356002",0,0,0
"514","06013357000",0,0,0
"515","06013358000",0,1,1
"516","06013359102",0,0,0
"517","06013359103",0,0,0
"518","06013359104",0,0,0
"519","06013359105",0,0,0
"520","06013359202",0,0,0
"521","06013359203",0,0,0
"522","06013359204",0,0,0
"523","06013360101",0,0,0
"524","06013360102",0,0,0
"525","06013360200",0,0,0
"526","06013361000",0,0,0
"527","06013362000",0,0,0
"528","06013363000",0,0,0
"529","06013364002",0,1,1
"530","06013365002",1,1,0
"531","06013365003",0,0,0
"532","06013366001",1,1,0
"533","06013366002",1,1,0
"534","06013367100",1,0,-1
"535","06013367200",1,1,0
"536","06013368001",1,1,0
"537","06013368002",1,1,0
"538","06013369001",1,1,0
"539","06013369002",1,1,0
"540","06013370000",0,0,0
"541","06013371000",1,1,0
"542","06013372000",1,1,0
"543","06013373000",1,1,0
"544","06013374000",1,1,0
"545","06013375000",1,1,0
"546","06013376000",1,1,0
"547","06013377000",1,1,0
"548","06013378000",0,0,0
"549","06013379000",1,1,0
"550","06013380000",1,0,-1
"551","06013381000",1,1,0
"552","06013382000",1,1,0
"553","06013383000",0,0,0
"554","06013384000",0,0,0
"555","06013385100",0,0,0
"556","06013385200",0,0,0
"557","06013386000",1,1,0
"558","06013387000",0,0,0
"559","06013388000",0,0,0
"560","06013389100",0,0,0
"561","06013389200",0,1,1
"562","06013390100",0,0,0
"563","06013390200",0,0,0
"564","06013391000",0,0,0
"565","06013392000",0,0,0
"566","06013392200",1,1,0
"567","06013392300",0,0,0
"568","06041101100",0,0,0
"569","06041101200",0,0,0
"570","06041102100",0,0,0
"571","06041102202",0,0,0
"572","06041102203",0,0,0
"573","06041103100",0,0,0
"574","06041103200",0,0,0
"575","06041104101",0,0,0
"576","06041104102",0,0,0
"577","06041104200",0,0,0
"578","06041104300",0,0,0
"579","06041105000",0,0,0
"580","06041106001",0,0,0
"581","06041106002",0,0,0
"582","06041107000",0,0,0
"583","06041108100",0,0,0
"584","06041108200",0,0,0
"585","06041109001",0,0,0
"586","06041109002",0,0,0
"587","06041110100",0,0,0
"588","06041110200",0,0,0
"589","06041111000",0,0,0
"590","06041112100",0,0,0
"591","06041112201",1,1,0
"592","06041112202",1,1,0
"593","06041113000",0,0,0
"594","06041114100",0,0,0
"595","06041114200",0,0,0
"596","06041115000",0,0,0
"597","06041116000",0,0,0
"598","06041117000",0,0,0
"599","06041118100",0,0,0
"600","06041119100",0,0,0
"601","06041119201",0,0,0
"602","06041119202",0,0,0
"603","06041120000",0,0,0
"604","06041121100",0,0,0
"605","06041121200",0,0,0
"606","06041122000",0,NA,NA
"607","06041123000",0,0,0
"608","06041124100",0,0,0
"609","06041124200",0,0,0
"610","06041125000",0,0,0
"611","06041126100",0,0,0
"612","06041126200",0,0,0
"613","06041127000",0,0,0
"614","06041128100",0,0,0
"615","06041128200",0,0,0
"616","06041129000",1,1,0
"617","06041130201",0,0,0
"618","06041130202",0,0,0
"619","06041131100",0,0,0
"620","06055200201",0,0,0
"621","06055200202",1,1,0
"622","06055200203",0,0,0
"623","06055200301",0,0,0
"624","06055200302",0,0,0
"625","06055200400",0,0,0
"626","06055200501",0,0,0
"627","06055200503",0,0,0
"628","06055200504",0,0,0
"629","06055200505",0,0,0
"630","06055200601",0,0,0
"631","06055200602",0,0,0
"632","06055200703",0,0,0
"633","06055200704",0,0,0
"634","06055200705",0,0,0
"635","06055200706",0,0,0
"636","06055200707",0,0,0
"637","06055200802",0,0,0
"638","06055200803",0,0,0
"639","06055200804",1,1,0
"640","06055200900",1,0,-1
"641","06055201003",0,0,0
"642","06055201004",0,0,0
"643","06055201005",0,0,0
"644","06055201006",0,0,0
"645","06055201007",0,0,0
"646","06055201101",0,0,0
"647","06055201102",0,0,0
"648","06055201200",0,0,0
"649","06055201300",0,0,0
"650","06055201401",0,0,0
"651","06055201402",0,0,0
"652","06055201500",0,0,0
"653","06055201601",1,0,-1
"654","06055201602",0,0,0
"655","06055201700",0,0,0
"656","06055202000",0,0,0
"657","06075010100",0,1,1
"658","06075010200",0,0,0
"659","06075010300",1,0,-1
"660","06075010400",0,0,0
"661","06075010500",0,0,0
"662","06075010600",1,1,0
"663","06075010700",1,1,0
"664","06075010800",0,0,0
"665","06075010900",0,0,0
"666","06075011000",0,0,0
"667","06075011100",0,0,0
"668","06075011200",0,0,0
"669","06075011300",1,1,0
"670","06075011700",0,1,1
"671","06075011800",1,1,0
"672","06075011901",0,0,0
"673","06075011902",0,0,0
"674","06075012000",1,0,-1
"675","06075012100",0,0,0
"676","06075012201",0,0,0
"677","06075012202",1,1,0
"678","06075012301",1,1,0
"679","06075012302",0,0,0
"680","06075012401",1,1,0
"681","06075012402",0,0,0
"682","06075012501",1,1,0
"683","06075012502",1,1,0
"684","06075012601",0,0,0
"685","06075012602",0,0,0
"686","06075012700",0,0,0
"687","06075012800",0,0,0
"688","06075012901",0,0,0
"689","06075012902",0,0,0
"690","06075013000",0,0,0
"691","06075013101",0,0,0
"692","06075013102",0,0,0
"693","06075013200",0,0,0
"694","06075013300",0,0,0
"695","06075013400",0,0,0
"696","06075013500",0,0,0
"697","06075015100",0,0,0
"698","06075015200",0,0,0
"699","06075015300",0,0,0
"700","06075015400",0,0,0
"701","06075015500",1,1,0
"702","06075015600",0,0,0
"703","06075015700",0,0,0
"704","06075015801",0,0,0
"705","06075015802",0,0,0
"706","06075015900",0,0,0
"707","06075016000",0,0,0
"708","06075016100",1,1,0
"709","06075016200",1,0,-1
"710","06075016300",1,0,-1
"711","06075016400",0,0,0
"712","06075016500",0,0,0
"713","06075016600",0,0,0
"714","06075016700",0,0,0
"715","06075016801",0,0,0
"716","06075016802",0,0,0
"717","06075016900",0,0,0
"718","06075017000",0,0,0
"719","06075017101",0,0,0
"720","06075017102",0,0,0
"721","06075017601",1,1,0
"722","06075017700",0,0,0
"723","06075017801",1,1,0
"724","06075017802",0,0,0
"725","06075017902",1,1,0
"726","06075018000",0,0,0
"727","06075020100",1,1,0
"728","06075020200",0,0,0
"729","06075020300",0,0,0
"730","06075020401",0,0,0
"731","06075020402",0,0,0
"732","06075020500",0,0,0
"733","06075020600",0,0,0
"734","06075020700",0,0,0
"735","06075020800",0,0,0
"736","06075020900",0,1,1
"737","06075021000",0,0,0
"738","06075021100",0,0,0
"739","06075021200",0,0,0
"740","06075021300",0,0,0
"741","06075021400",0,0,0
"742","06075021500",0,0,0
"743","06075021600",0,0,0
"744","06075021700",0,0,0
"745","06075021800",0,0,0
"746","06075022600",0,0,0
"747","06075022702",0,0,0
"748","06075022704",0,0,0
"749","06075022801",0,0,0
"750","06075022802",1,0,-1
"751","06075022803",1,0,-1
"752","06075022901",1,1,0
"753","06075022902",0,0,0
"754","06075022903",1,0,-1
"755","06075023001",1,1,0
"756","06075023003",0,0,0
"757","06075023102",1,1,0
"758","06075023103",1,1,0
"759","06075023200",1,1,0
"760","06075023300",0,1,1
"761","06075023400",1,1,0
"762","06075025100",0,0,0
"763","06075025200",0,0,0
"764","06075025300",0,0,0
"765","06075025401",0,0,0
"766","06075025402",0,0,0
"767","06075025403",1,0,-1
"768","06075025500",0,0,0
"769","06075025600",0,0,0
"770","06075025701",0,0,0
"771","06075025702",1,1,0
"772","06075025800",1,1,0
"773","06075025900",0,0,0
"774","06075026001",1,1,0
"775","06075026002",0,0,0
"776","06075026003",1,0,-1
"777","06075026004",1,0,-1
"778","06075026100",0,0,0
"779","06075026200",0,1,1
"780","06075026301",1,1,0
"781","06075026302",0,0,0
"782","06075026303",0,1,1
"783","06075026401",1,1,0
"784","06075026402",0,0,0
"785","06075026403",1,0,-1
"786","06075026404",1,1,0
"787","06075030101",0,0,0
"788","06075030102",0,0,0
"789","06075030201",0,0,0
"790","06075030202",0,0,0
"791","06075030301",0,0,0
"792","06075030302",0,0,0
"793","06075030400",0,0,0
"794","06075030500",0,0,0
"795","06075030600",0,0,0
"796","06075030700",0,0,0
