GEOID,total_population,total_pop_pov,pop_200_pct_and_over_fpl,pop_below_200_pct_fpl,share_below_200_pct_fpl,pop_5_years_over,pop_english_only,spanish_english_vw,spanish_english_lvw,french_english_vw,french_english_lvw,german_english_vw,german_english_lvw,russian_english_vw,russian_english_lvw,other_indo_english_vw,other_indo_english_lvw,korean_english_vw,korean_english_lvw,chinese_english_vw,chinese_english_lvw,vietnamese_english_vw,vietnamese_english_lvw,tagalog_english_vw,tagalog_english_lvw,other_asian_english_vw,other_asian_english_lvw,arabic_english_vw,arabic_english_lvw,other_unspec_english_vw,other_unspec_english_lvw,pct_spanish_english_lvw,pct_french_english_lvw,pct_german_english_lvw,pct_russian_english_lvw,pct_other_indo_english_lvw,pct_korean_english_lvw,pct_chinese_english_lvw,pct_vietnamese_english_lvw,pct_tagalog_english_lvw,pct_other_asian_english_lvw,pct_arabic_english_lvw,pct_other_unspec_english_lvw,top_non_english_language,low_income,over_5_pct_thres
6001400200,2025,2018,1788,230,0.113974232,1912,1536,83,37,59,0,3,0,14,0,40,12,0,8,58,0,8,0,10,0,0,26,11,0,7,0,0.019351464,0,0,0,0.006276151,0.0041841,0,0,0,0.013598326,0,0,Spanish,0,0
6001400300,5000,4962,4436,526,0.106005643,4704,3895,85,80,83,0,61,0,20,0,66,0,0,0,67,26,0,0,22,0,0,27,0,0,38,234,0.017006803,0,0,0,0,0,0.005527211,0,0,0.005739796,0,0.049744898,Other Unspecified,0,0
6001400700,5116,5106,3186,1920,0.376028202,4833,3572,281,321,64,11,0,0,0,0,32,9,27,0,11,0,0,0,36,0,10,18,192,118,59,72,0.066418374,0.002276019,0,0,0.001862197,0,0,0,0,0.003724395,0.024415477,0.014897579,Spanish,1,1
6001400800,3792,3792,2318,1474,0.38871308,3585,2425,105,100,166,0,9,0,79,6,82,25,71,82,67,82,38,7,61,32,33,0,22,64,12,17,0.027894003,0,0,0.00167364,0.006973501,0.022873082,0.022873082,0.00195258,0.008926081,0,0.017852162,0.00474198,Spanish,1,0
6001403100,1668,1287,673,614,0.477078477,1616,824,119,37,5,0,6,0,0,0,17,0,5,10,109,378,5,26,10,0,24,26,0,0,10,5,0.02289604,0,0,0,0,0.006188119,0.233910891,0.016089109,0,0.016089109,0,0.003094059,Chinese,1,1
6001400400,3843,3830,3028,802,0.209399478,3624,3024,225,50,28,0,27,0,17,0,58,0,8,9,37,15,0,0,36,0,40,27,0,0,9,14,0.013796909,0,0,0,0,0.002483444,0.004139073,0,0,0.007450331,0,0.003863135,Spanish,0,0
6001401100,4366,4366,3078,1288,0.295006871,4230,3003,171,121,59,0,40,0,38,0,182,30,34,23,155,129,21,0,18,0,39,12,54,13,24,64,0.028605201,0,0,0,0.007092199,0.005437352,0.030496454,0,0,0.002836879,0.003073286,0.015130024,Chinese,1,0
6001400500,3786,3768,2959,809,0.21470276,3503,2863,153,25,100,37,40,0,23,0,40,0,7,0,44,49,10,18,10,0,21,0,4,0,59,0,0.00713674,0.010562375,0,0,0,0,0.01398801,0.005138453,0,0,0,0,Chinese,0,0
6001402800,4639,4639,2534,2105,0.453761587,4517,2855,349,69,65,0,6,0,0,0,83,4,22,0,159,305,0,9,25,0,76,39,0,0,237,214,0.015275625,0,0,0,0.000885544,0,0.067522692,0.001992473,0,0.008634049,0,0.047376577,Chinese,1,1
6001400600,1638,1638,1352,286,0.174603175,1527,1270,64,21,86,0,6,0,0,0,23,6,5,0,18,0,0,0,9,14,0,0,0,0,0,5,0.013752456,0,0,0,0.003929273,0,0,0,0.009168304,0,0,0.003274394,Spanish,0,0
6001400900,2471,2410,1619,791,0.328215768,2347,1918,98,94,0,44,0,0,12,0,5,11,0,0,0,0,0,6,0,0,15,0,99,45,0,0,0.040051129,0.018747337,0,0,0.004686834,0,0,0.002556455,0,0,0.019173413,0,Spanish,1,0
6001401400,4331,4331,1790,2541,0.586700531,4229,2694,384,283,32,0,17,0,0,0,37,13,0,0,13,97,168,94,35,7,9,0,0,139,90,117,0.066918893,0,0,0,0.003074013,0,0.022936865,0.022227477,0.001655238,0,0.03286829,0.027666115,Spanish,1,1
6001403000,2969,2969,1267,1702,0.573256989,2906,456,61,8,0,0,0,0,0,0,69,26,0,0,464,1650,12,0,23,9,15,11,0,0,0,102,0.002752925,0,0,0,0.008947006,0,0.567790778,0,0.003097041,0.003785272,0,0.035099794,Chinese,1,1
6001401000,6024,6016,4236,1780,0.29587766,5790,4551,577,323,60,0,46,0,10,0,75,13,0,0,0,29,15,0,5,0,24,0,25,0,14,23,0.055785838,0,0,0,0.00224525,0,0.005008636,0,0,0,0,0.003972366,Spanish,1,1
6001401500,2663,2663,1520,1143,0.429215171,2579,2058,138,134,19,0,10,0,5,6,0,0,0,0,25,20,0,7,0,19,24,0,10,10,68,26,0.051958123,0,0,0.002326483,0,0,0.007754944,0.00271423,0.007367197,0,0.003877472,0.010081427,Spanish,1,1
6001401200,2577,2560,2078,482,0.18828125,2406,1904,249,48,38,0,0,0,20,0,21,0,7,0,37,0,8,0,0,0,0,43,6,0,0,25,0.019950125,0,0,0,0,0,0,0,0,0.017871987,0,0.01039069,Spanish,0,0
6001401300,3855,3563,1897,1666,0.467583497,3768,2789,175,170,14,0,0,0,30,35,19,4,14,9,64,168,7,9,0,35,0,23,28,30,62,83,0.045116773,0,0,0.009288747,0.001061571,0.002388535,0.044585987,0.002388535,0.009288747,0.006104034,0.007961783,0.022027601,Spanish,1,0
6001401700,3002,2985,2230,755,0.252931323,2738,2030,174,245,41,20,42,0,0,0,59,10,30,0,22,0,0,0,0,0,27,0,0,0,38,0,0.089481373,0.007304602,0,0,0.003652301,0,0,0,0,0,0,0,Spanish,0,1
6001402500,1786,1786,646,1140,0.638297872,1524,1222,94,13,0,0,0,0,0,0,0,0,0,0,29,20,11,34,21,0,0,0,33,35,0,12,0.008530184,0,0,0,0,0,0.01312336,0.022309711,0,0,0.022965879,0.007874016,Arabic,1,0
6001401600,2269,2269,1280,989,0.435874835,2166,1518,52,151,0,16,5,7,0,0,33,0,8,14,31,66,17,53,9,0,36,0,19,0,68,63,0.069713758,0.007386888,0.003231764,0,0,0.006463527,0.030470914,0.024469067,0,0,0,0.029085873,Spanish,1,1
6001401800,1794,1794,1017,777,0.433110368,1701,1439,73,100,18,0,4,0,0,0,0,0,6,0,0,20,0,0,0,0,0,5,15,0,21,0,0.058788948,0,0,0,0,0,0.01175779,0,0,0.002939447,0,0,Spanish,1,1
6001402600,1196,1196,374,822,0.68729097,1153,456,89,17,0,0,5,2,0,0,0,0,0,5,34,423,7,0,17,11,5,0,34,26,11,11,0.014744146,0,0.001734605,0,0,0.004336513,0.366869037,0,0.00954033,0,0.02254987,0.00954033,Chinese,1,1
6001402700,1842,1827,1182,645,0.353037767,1798,1281,113,163,0,0,4,0,19,6,5,0,0,0,49,102,0,0,0,0,17,0,12,0,27,0,0.090656285,0,0,0.003337041,0,0,0.0567297,0,0,0,0,0,Spanish,1,1
6001402200,2527,2515,1240,1275,0.50695825,2409,1570,177,253,0,0,3,0,0,0,0,0,0,0,86,165,11,50,54,9,31,0,0,0,0,0,0.105022831,0,0,0,0,0,0.068493151,0.0207555,0.00373599,0,0,0,Spanish,1,1
6001402400,2787,2768,1699,1069,0.386199422,2635,1937,75,117,24,0,0,0,41,0,20,9,0,58,53,87,11,9,0,28,9,1,15,0,76,65,0.044402277,0,0,0,0.00341556,0.022011385,0.033017078,0.00341556,0.010626186,0.000379507,0,0.024667932,Spanish,1,0
6001402900,1427,1334,632,702,0.526236882,1417,752,91,68,9,0,0,0,0,11,24,0,6,10,33,291,0,15,6,16,34,35,11,0,5,0,0.047988709,0,0,0.007762879,0,0.007057163,0.205363444,0.010585745,0.011291461,0.024700071,0,0,Chinese,1,1
6001403400,4617,4596,3395,1201,0.261314186,4429,2878,161,54,81,0,27,0,0,111,56,16,0,0,56,410,14,0,0,54,65,133,0,0,153,160,0.012192368,0,0,0.025062091,0.003612554,0,0.092571687,0,0.012192368,0.030029352,0,0.036125536,Chinese,0,1
6001403502,2035,2035,1445,590,0.28992629,1977,1353,165,0,104,53,0,0,37,0,37,0,0,0,58,73,0,0,7,7,18,44,0,0,21,0,0,0.026808295,0,0,0,0,0.036924633,0,0.003540718,0.022255943,0,0,Chinese,1,0
6001403600,5252,5157,3704,1453,0.281752957,4972,3470,250,37,83,23,27,0,32,0,78,0,60,31,65,31,0,0,24,3,220,47,0,0,121,370,0.007441673,0.004625905,0,0,0,0.006234916,0.006234916,0,0.000603379,0.009452936,0,0.074416734,Other Unspecified,1,1
6001403702,1898,1898,1463,435,0.22918862,1836,1561,68,0,10,0,10,0,0,0,20,0,0,10,0,132,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0.005446623,0.071895425,0,0,0,0,0,Chinese,0,1
6001403900,4020,4020,3026,994,0.247263682,3908,2641,86,40,11,0,31,0,88,32,37,22,0,0,226,67,33,0,23,0,62,75,241,41,63,89,0.010235415,0,0,0.008188332,0.005629478,0,0.017144319,0,0,0.019191402,0.0104913,0.022773797,Other Unspecified,0,0
6001404102,2605,2474,1865,609,0.246160065,2465,1962,42,62,26,0,14,0,5,43,84,10,0,31,30,74,11,27,4,13,8,0,0,0,19,0,0.02515213,0,0,0.017444219,0.004056795,0.012576065,0.030020284,0.010953347,0.005273834,0,0,0,Chinese,0,0
6001404700,2079,2079,1995,84,0.04040404,1888,1621,77,6,47,4,0,0,10,6,29,0,0,0,49,20,0,6,0,0,0,0,0,0,13,0,0.003177966,0.002118644,0,0.003177966,0,0,0.01059322,0.003177966,0,0,0,0,Chinese,0,0
6001405200,5188,5188,3775,1413,0.272359291,5002,3156,408,197,0,0,0,0,10,0,41,0,62,0,277,663,120,16,30,0,0,16,6,0,0,0,0.039384246,0,0,0,0,0,0.132546981,0.003198721,0,0.003198721,0,0,Chinese,0,1
6001405302,2454,2454,1492,962,0.39201304,2329,1188,139,122,29,5,0,0,22,27,52,36,0,24,73,287,95,156,8,0,8,9,0,0,0,49,0.052382997,0.002146844,0,0.011592958,0.015457278,0.010304852,0.123228854,0.066981537,0,0.003864319,0,0.021039073,Chinese,1,1
6001405401,3890,3866,2239,1627,0.420848422,3720,1541,268,295,49,66,35,0,0,49,0,0,0,0,208,792,21,233,17,0,43,37,9,13,34,10,0.079301075,0.017741935,0,0.013172043,0,0,0.212903226,0.062634409,0,0.009946237,0.003494624,0.002688172,Chinese,1,1
6001403300,4240,4240,2415,1825,0.430424528,4199,2214,99,139,0,0,12,0,19,0,36,29,0,0,291,1235,0,79,30,0,16,0,0,0,0,0,0.03310312,0,0,0,0.006906406,0,0.294117647,0.018814003,0,0,0,0,Chinese,1,1
6001403501,4644,4599,2617,1982,0.430963253,4490,2808,287,19,16,0,16,0,13,0,31,23,0,71,22,509,33,32,0,2,30,265,0,0,152,161,0.004231626,0,0,0,0.005122494,0.015812918,0.113363029,0.007126949,0.000445434,0.059020045,0,0.035857461,Chinese,1,1
6001403701,2795,2757,2217,540,0.195865071,2780,2069,161,8,59,8,0,0,0,8,45,58,0,0,9,29,19,0,20,16,79,29,0,0,81,82,0.002877698,0.002877698,0,0.002877698,0.020863309,0,0.010431655,0,0.005755396,0.010431655,0,0.029496403,Other Unspecified,0,0
6001404000,2998,2998,2496,502,0.167444963,2920,2090,204,55,34,0,19,0,24,15,88,82,0,0,41,22,0,8,114,0,57,0,38,0,29,0,0.018835616,0,0,0.005136986,0.028082192,0,0.007534247,0.002739726,0,0,0,0,Other Indo-European,0,0
6001404200,3849,3666,3411,255,0.069558101,3594,2809,77,0,32,0,0,0,0,0,262,108,23,32,85,76,28,0,44,8,5,5,0,0,0,0,0,0,0,0,0.030050083,0.008903728,0.021146355,0,0.002225932,0.001391208,0,0,Other Indo-European,0,0
6001403800,3343,3343,3043,300,0.089739755,3170,2472,86,17,66,0,23,0,20,10,72,0,28,10,130,70,23,10,22,0,18,0,28,0,65,0,0.005362776,0,0,0.003154574,0,0.003154574,0.022082019,0.003154574,0,0,0,0,Chinese,0,0
6001404101,3088,3086,2780,306,0.099157485,2934,2629,78,1,0,0,10,0,0,0,31,11,15,0,18,18,5,0,53,0,9,12,9,0,20,15,0.000340832,0,0,0,0.003749148,0,0.006134969,0,0,0.00408998,0,0.005112474,Chinese,0,0
6001404800,2707,2707,2094,613,0.226449945,2533,1615,399,0,30,0,8,0,0,0,28,0,11,0,94,99,0,18,41,41,0,0,0,0,97,52,0,0,0,0,0,0,0.03908409,0.007106198,0.01618634,0,0,0.020529017,Chinese,0,0
6001405301,2955,2955,2399,556,0.188155668,2871,2206,124,137,17,2,0,0,0,0,20,0,0,9,25,144,0,0,18,22,31,9,0,0,85,22,0.047718565,0.000696621,0,0,0,0.003134796,0.05015674,0,0.007662835,0.003134796,0,0.007662835,Chinese,0,1
6001405000,3269,3257,2924,333,0.102241326,3015,2522,204,0,21,0,11,7,12,23,8,7,8,0,35,142,0,0,0,0,14,0,0,0,1,0,0,0,0.002321725,0.007628524,0.002321725,0,0.047097844,0,0,0,0,0,Chinese,0,0
6001404501,1795,1795,1725,70,0.038997214,1693,1390,17,25,56,0,24,0,0,0,11,9,0,0,27,15,7,9,0,18,41,18,0,0,26,0,0.014766686,0,0,0,0.005316007,0,0.008860012,0.005316007,0.010632014,0.010632014,0,0,Spanish,0,0
6001404900,3973,3973,3441,532,0.133903851,3664,3103,109,6,34,0,10,0,0,0,68,0,8,0,112,131,0,0,9,0,22,0,23,22,7,0,0.001637555,0,0,0,0,0,0.035753275,0,0,0,0.006004367,0,Chinese,0,0
6001405100,4324,4324,4145,179,0.041396855,3997,3393,43,90,74,14,99,0,0,9,41,5,0,0,84,51,8,8,31,0,17,30,0,0,0,0,0.022516888,0.003502627,0,0.002251689,0.001250938,0,0.01275957,0.002001501,0,0.007505629,0,0,Spanish,0,0
6001405402,3275,3200,1488,1712,0.535,3077,1157,183,387,24,30,0,0,27,8,0,3,0,0,100,458,110,181,18,0,0,21,43,11,59,257,0.125771856,0.009749756,0,0.002599935,0.000974976,0,0.148846279,0.058823529,0,0.006824829,0.003574911,0.083522912,Chinese,1,1
6001405500,4063,4063,3008,1055,0.259660349,3891,1961,214,86,67,0,11,0,0,0,58,24,13,0,195,285,89,624,49,0,19,118,0,0,32,46,0.022102287,0,0,0,0.00616808,0,0.073245952,0.160370085,0,0.030326394,0,0.011822154,Vietnamese,0,1
6001405901,4348,4348,1394,2954,0.679392824,4033,1222,557,872,13,0,0,0,0,0,0,0,0,0,67,441,57,227,16,60,189,287,0,0,0,25,0.216216216,0,0,0,0,0,0.10934788,0.056285643,0.014877263,0.071162906,0,0.006198859,Spanish,1,1
6001405902,2979,2979,1483,1496,0.50218194,2777,651,305,231,5,3,13,0,0,0,49,43,0,0,175,446,101,320,21,22,82,144,26,44,23,73,0.083183291,0.001080302,0,0,0.015484336,0,0.160604969,0.115232265,0.007922218,0.051854519,0.015844436,0.02628736,Chinese,1,1
6001406202,4751,4559,1829,2730,0.59881553,4420,1234,895,1343,0,0,0,24,0,0,9,0,0,0,10,138,0,0,142,102,19,73,91,8,34,298,0.303846154,0,0.005429864,0,0,0,0.031221719,0,0.023076923,0.016515837,0.001809955,0.067420814,Spanish,1,1
6001406400,2466,2294,1337,957,0.41717524,2398,1529,149,219,0,0,0,0,11,0,25,0,0,3,10,75,35,157,20,0,47,92,0,0,0,26,0.091326105,0,0,0,0,0.001251043,0.031276063,0.065471226,0,0.038365304,0,0.010842369,Spanish,1,1
6001406602,2795,2795,1500,1295,0.46332737,2575,1128,371,105,0,0,10,0,0,0,30,0,0,0,102,177,54,72,31,125,89,52,77,131,16,5,0.040776699,0,0,0,0,0,0.068737864,0.027961165,0.048543689,0.020194175,0.050873786,0.001941748,Chinese,1,1
6001407500,4560,4499,1218,3281,0.729273172,4163,1629,867,1246,15,0,0,0,0,0,0,0,0,23,20,64,0,36,0,18,124,0,85,36,0,0,0.299303387,0,0,0,0,0.005524862,0.015373529,0.00864761,0.004323805,0,0.00864761,0,Spanish,1,1
6001407600,6606,6601,4129,2472,0.374488714,6007,3791,829,734,23,0,11,0,0,0,0,0,0,0,0,31,15,0,12,36,206,156,1,147,15,0,0.122190777,0,0,0,0,0,0.005160646,0,0.005993008,0.025969702,0.02447145,0,Spanish,1,1
6001407700,4288,4209,3402,807,0.191732003,3948,3212,295,76,39,40,29,0,7,0,11,1,40,0,36,25,29,22,65,0,10,0,0,11,0,0,0.019250253,0.010131712,0,0,0.000253293,0,0.00633232,0.005572442,0,0,0.002786221,0,Spanish,0,0
6001408400,3089,3084,1302,1782,0.577821012,2967,1583,684,551,0,0,0,0,0,0,14,18,0,0,49,67,0,0,0,0,0,0,0,0,1,0,0.185709471,0,0,0,0.006066734,0,0.022581732,0,0,0,0,0,Spanish,1,1
6001408700,7628,7594,4211,3383,0.445483276,6985,3735,1173,1497,81,0,1,0,0,0,21,0,0,2,48,0,0,77,0,0,54,21,42,54,179,0,0.214316392,0,0,0,0,0.000286328,0,0.011023622,0,0.003006442,0.007730852,0,Spanish,1,1
6001409200,3577,3564,2004,1560,0.437710438,3354,1334,833,748,0,0,0,0,0,0,9,0,0,7,8,9,0,0,93,26,52,0,9,62,144,20,0.223017293,0,0,0,0,0.00208706,0.002683363,0,0.007751938,0,0.018485391,0.005963029,Spanish,1,1
6001409300,5433,5424,2454,2970,0.547566372,4892,1829,1458,1376,0,0,0,0,9,0,0,0,0,0,0,0,0,0,19,15,54,24,19,71,0,18,0.281275552,0,0,0,0,0,0,0,0.003066231,0.004905969,0.014513491,0.003679477,Spanish,1,1
6001409500,4272,4264,1607,2657,0.623123827,3855,1497,1152,1008,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,48,8,49,46,17,12,0.261478599,0,0,0,0,0,0,0.002075227,0,0.002075227,0.011932555,0.00311284,Spanish,1,1
6001405600,3292,3292,2324,968,0.294046173,3089,1771,440,174,39,0,0,0,0,0,11,71,0,0,196,252,10,17,0,0,25,24,0,0,25,34,0.056328909,0,0,0,0.022984785,0,0.081579799,0.005503399,0,0.007769505,0,0.011006798,Chinese,1,1
6001405700,3434,3434,1922,1512,0.440302854,3305,1521,144,344,0,0,14,0,0,0,5,0,0,0,131,289,45,173,34,34,219,101,71,67,55,58,0.10408472,0,0,0,0,0,0.087443268,0.052344932,0.010287443,0.030559758,0.020272315,0.017549168,Spanish,1,1
6001405800,4645,4598,2280,2318,0.504132231,4465,1728,346,391,0,0,25,0,0,0,0,0,0,0,175,500,189,384,60,120,138,143,30,54,0,182,0.087569989,0,0,0,0,0,0.111982083,0.08600224,0.0268757,0.032026876,0.012094065,0.040761478,Chinese,1,1
6001406000,3344,3344,1564,1780,0.532296651,3290,1225,218,310,8,0,0,0,0,0,43,45,6,0,136,769,65,165,0,0,62,25,0,0,143,70,0.094224924,0,0,0,0.013677812,0,0.233738602,0.050151976,0,0.007598784,0,0.021276596,Chinese,1,1
6001406201,4858,4737,2066,2671,0.563858982,4459,1340,739,808,18,0,17,0,13,48,14,116,0,0,241,315,0,60,0,21,182,332,52,0,73,70,0.181206549,0,0,0.010764745,0.026014802,0,0.070643642,0.013455932,0.004709576,0.074456156,0,0.015698587,Spanish,1,1
6001406100,4659,4621,2184,2437,0.527375027,4308,1215,1082,1180,0,0,0,0,0,0,9,0,0,0,48,171,0,107,105,11,25,0,0,0,113,242,0.273909006,0,0,0,0,0,0.039693593,0.024837512,0.002553389,0,0,0.056174559,Spanish,1,1
6001406500,6055,5938,2744,3194,0.537891546,5747,1725,1315,1183,31,0,0,0,6,11,25,0,0,0,201,554,0,41,83,26,184,126,94,49,64,29,0.205846529,0,0,0.001914042,0,0,0.096398121,0.007134157,0.0045241,0.021924482,0.008526188,0.005046111,Spanish,1,1
6001406300,4425,4425,2459,1966,0.444293785,4166,1825,614,563,0,0,0,0,0,0,24,22,0,23,100,441,39,129,25,14,77,111,28,20,111,0,0.135141623,0,0,0,0.005280845,0.005520883,0.105856937,0.030964954,0.003360538,0.026644263,0.004800768,0,Spanish,1,1
6001406601,5042,5042,3060,1982,0.393097977,4728,2009,702,534,22,8,12,0,0,0,9,0,0,0,186,548,117,119,14,0,0,56,91,78,37,186,0.112944162,0.001692047,0,0,0,0,0.115905245,0.025169205,0,0.011844332,0.016497462,0.039340102,Chinese,1,1
6001406700,4992,4970,4001,969,0.194969819,4675,3571,166,0,64,0,44,0,0,0,39,12,24,19,119,477,13,17,0,0,34,0,0,0,62,14,0,0,0,0,0.002566845,0.004064171,0.102032086,0.003636364,0,0,0,0.002994652,Chinese,0,1
6001406800,3510,3504,2907,597,0.170376712,3203,2227,201,73,50,7,6,0,0,0,99,8,0,0,208,224,22,33,5,0,6,15,0,8,11,0,0.022791133,0.002185451,0,0,0.002497658,0,0.069934436,0.010302841,0,0.00468311,0.002497658,0,Chinese,0,1
6001407000,5924,5795,3241,2554,0.440724763,5639,2499,718,903,0,0,5,0,0,0,0,0,0,0,270,627,7,202,18,34,75,128,0,118,20,15,0.160134776,0,0,0,0,0,0.111189927,0.035821954,0.006029438,0.02269906,0.020925696,0.002660046,Spanish,1,1
6001407200,6894,6846,2975,3871,0.565439673,6493,1521,1526,2411,0,5,3,0,0,0,20,28,22,0,69,374,42,152,109,36,35,17,24,73,18,8,0.371322963,0.00077006,0,0,0.004312336,0,0.057600493,0.023409826,0.005544432,0.002618204,0.011242877,0.001232096,Spanish,1,1
6001407900,3074,3068,2621,447,0.145697523,2850,2001,197,104,0,0,24,0,0,0,132,24,17,24,71,82,26,0,46,17,27,45,13,0,0,0,0.036491228,0,0,0,0.008421053,0.008421053,0.02877193,0,0.005964912,0.015789474,0,0,Spanish,0,0
6001408200,4455,4428,2972,1456,0.328816621,4166,3392,265,184,27,0,2,0,4,9,24,0,0,0,19,47,7,0,34,0,19,40,31,56,6,0,0.044167067,0,0,0.002160346,0,0,0.011281805,0,0,0.009601536,0.013442151,0,Spanish,1,0
6001406900,3708,3684,2962,722,0.195982628,3466,2380,173,101,16,3,53,0,0,0,39,0,0,0,225,288,3,0,36,0,29,28,8,72,12,0,0.029140219,0.000865551,0,0,0,0,0.083092902,0,0,0.008078477,0.020773226,0,Chinese,0,1
6001407101,3737,3737,1726,2011,0.538132192,3428,1105,803,668,10,0,6,0,0,0,0,0,10,13,131,438,0,60,22,46,0,15,0,0,58,43,0.194865811,0,0,0,0,0.003792299,0.127771295,0.017502917,0.013418903,0.004375729,0,0.012543757,Spanish,1,1
6001407102,4416,4308,2590,1718,0.398792943,3988,1866,813,752,30,0,0,0,0,0,18,18,8,0,36,108,0,114,55,32,66,72,0,0,0,0,0.188565697,0,0,0,0.004513541,0,0.027081244,0.028585757,0.008024072,0.018054162,0,0,Spanish,1,1
