PM_ID,County,Agency,Project,Project_Type,In_Previous_RTIP_RHNA_Map,TIP_ID,Project_Limits_To,Project_Limits_From,RTP_ID,Found?,Source,Coordinates,Notes
,Santa Clara,BART,BART to San Jose,Corridor Transit Project,Yes,BRT030001,,,17-07-0012,yes,RTP,,
,Alameda,ACTC,SR-84 Widening and 84/680 Interchange,Standalone,Yes,ALA150001,,,17-01-0029,yes,RTP,,
,Alameda,ACTC,I-80 Interchange Gilman St,Standalone,Yes,ALA050079,,,17-01-0040,yes,RTP,,
,Alameda,AC Transit,AC Transit Bus Rapid Transit Project,Corridor Transit Project,No,ALA150004,,,17-01-0060,yes,RTP,,
,Contra Costa,CCTA,Kirker Pass Rd NB Truck Climbing Lane,Corridor Project,No,CC-070075,,,17-02-0014,yes,RTP,,
,Contra Costa,CCTA,"I-680/4 Interchange, Phase 3 ",Standalone Project,Yes,CC-130046,,,17-02-0019,yes,RTP,,USE RTP ID
,Contra Costa,CCTA,SR-4 Operational Improvements,Corridor Project,Yes,CC-170018,,,17-02-0020,yes,RTP,,USE RTP ID
,Contra Costa,CCTA,I-80/San Pablo Dam Rd Interchange (Ph. 2),Standalone Project,No,CC-070035,,,17-02-0021,yes,RTP,,
,Contra Costa,CCTA,I-680 SB HOV Gap Closure (N. Main-Livorna),Corridor Project,No,CC-050028,,,17-02-0022,yes,RTP,,
,Contra Costa,CCTA,"I-80 Central Interchange, Phase 2",Standalone Project,Yes,CC-050076,,,17-02-0026,yes,RTP,,
,Napa,NVTA,Soscol Junction,Standalone Project,Yes,NAP090003,,,17-04-0009,yes,RTP,,USE RTP ID
,San Mateo,SM C/CAG,US 101 Managed Lane Project,Corridor Project,Yes,SM-150017,,,17-06-0008,yes,RTP,,USE RTP ID
,San Mateo,SM C/CAG,SR 92/US 101 Interchange  Imps. - Phase 2,Standalone Project,Yes,SM-090014,,,17-06-0009,yes,RTP,,USE RTP ID
,San Mateo,Redwood City,US 101 Woodside Road Interchange Imp. Project,Standalone Project,Yes,SM-050027,,,17-06-0010,yes,RTP,,
,San Mateo,S. San Francisco,US 101 Produce Avenue Interchange - Imps.,Standalone Project,Yes,SM-110003,,,17-06-0011,yes,RTP,,
,San Mateo,Caltrans,US-101 Willow Rd I/C Reconst. (AB3090 Reimbursement),Standalone Project,No,SM-010047,,,17-06-0014,yes,RTP,,
,Santa Clara,VTA,US 101 Express Lanes - Phase 3,Corridor Project,Yes,SCL110002,,,17-07-0075,yes,RTP,,
,Santa Clara,VTA,US 101 Express Lanes - Phase 4,Corridor Project,Yes,SCL110002,,,17-07-0075,yes,RTP,,
,Santa Clara,VTA,US 101 Express Lanes - Phase 5,Corridor Project,Yes,SCL110002,,,17-07-0075,yes,RTP,,
,Santa Clara,BART,BART to San Jose,Corridor Transit Project,Yes,BRT030001,,,17-07-0077,yes,RTP,,
,Solano,Solano TA,"I-80/680/12 Interchange (Phases 2a, 2, and 3)",Standalone Project,Yes,SOL070020,,,17-08-0009,yes,RTP,,
,Solano,Solano TA,Jepson Parkway,Corridor Project,Yes,SOL110006,,,17-08-0012,yes,RTP,,
30cd1910-e0f0-11e7-9be1-b19030f086f8,Alameda,BART,BART Station Modernization Program (ALA),Standalone Transit Project,No,CC-130046,,,,,PM,"37.808878, -122.268322",Draw Coordinates
752d5ed0-e0f0-11e7-9be1-b19030f086f8,Contra Costa,BART,BART Station Modernization Program (CC),Standalone Transit Project,No,CC-130046,,,,,PM,"37.973945, -122.029292",Draw Coordinates
94d7b5e0-e05b-11e7-b0bc-a94f082ca0a3,Napa,City of Napa,Silverado Five- Way Intersection Improvements,Standalone Project,Yes,,,,,,PM,"38.299553, -122.275935",Draw Coordinates
d2844180-e05e-11e7-a0eb-a540cf6a9d72,Napa,County of Napa,Silverado Trail Repaving Phase L,Corridor Project,No,,"38.344505, -122.282891","38.369910, -122.301021",,,PM,,Draw Corridor
3bcc5010-e05f-11e7-a0eb-a540cf6a9d72,San Mateo,SM C/CAG,ITS Imps. in Daly City,Standalone Project,Yes,,,,,,PM,,USE CITY CENTER POINT
5d4c0eb0-e05f-11e7-a0eb-a540cf6a9d72,San Mateo,SM C/CAG,ITS Imps. in Colma,Standalone Project,Yes,,,,,,PM,,USE CITY CENTER POINT
745fa670-e05f-11e7-a0eb-a540cf6a9d72,San Mateo,SM C/CAG,ITS Imps. in Brisbane,Standalone Project,Yes,,,,,,PM,,USE CITY CENTER POINT
cb262880-e05f-11e7-a0eb-a540cf6a9d72,Santa Clara,San Jose,West San Carlos Urban Village Streetscape - Construction,Corridor Project,Yes,,"37.323294, -121.940254","37.323935, -121.904287",,,PM,,Draw Corridor
2ade3f60-e060-11e7-a0eb-a540cf6a9d72,Santa Clara,VTA,I-280/Bird Ave Soundwall,Standalone Project,Yes,,,,,,PM,"37.322398, -121.898284",Draw Coordinates
7493b950-e060-11e7-a0eb-a540cf6a9d72,Solano,Solano TA,SR 37 Project/Mare Island Interchange Project,Standalone Project,No,,,,,,PM,"38.117527, -122.288900",Draw Coordinates
,Contra Costa,BART,Walnut Creek BART TOD Intermodal Project,Standalone Transit Project,No,CC-110082,,,,Not Mapped,,,
,Napa,American Cyn,Devlin Road and Vine Trail Extension,Corridor Project,Yes,NAP130006,,,,yes,,,
,Napa,Calistoga,"Petrified Forest Rd and SR-128, Intersection Improvements",Standalone Project,No,NAP150001,,,,Not Mapped,,,
,Napa,Yountville,Hopper Creek Pedestrian Path (Oak Cir - Mission),Standalone Project,No,NAP130008,,,,yes,,,
,San Francisco,SFMTA,2020 Restoration of SFMTA Light Rail Lines,,No,,,,,,,,DO NOT SHOW
,San Francisco,SFMTA,2021 Restoration of SFMTA Light Rail Lines,,No,,,,,,,,DO NOT SHOW
,San Mateo,Caltrans,Countywide ITS Imps. - San Mateo County Smart Corridor Ð SSF Expansion,,No,SM-070002,,,,,,,DO NOT SHOW
,Santa Clara,VTA,I-680 Soundwall from Capitol to Mueller,Standalone Project,No,SCL150001,,,,yes,,,
,Solano,Solano TA,SR 12/Church Rd,Standalone Project,No,SOL150003,,,,Not Mapped ,,,
,San Mateo,SM C/CAG,US 101 Managed Lane Project,Corridor Project,Yes,SM-150017,,,17-06-0007,yes,RTP,,USE RTP ID