State,Year_Raised,Party_Elected_2016,Raised_Since_2013
Alabama,1992,R,N
Alaska,1970,R,N
Arizona,1990,R,N
Arkansas,1999,R,Y
California,2017,B,Y
Colorado,1991,B,N
Connecticut,2005,B,Y
Delaware,1993,B,Y
District of Columbia,2013,B,Y
Florida,1990,R,N
Georgia,2015,R,Y
Hawaii,2007,B,
Idaho,2015,R,Y
Illinois,1990,B,N
Indiana,2017,R,Y
Iowa,2015,R,Y
Kansas,2003,R,Y
Kentucky,2015,R,Y
Louisiana,1990,R,N
Maine,2011,B,Y
Maryland,2013,B,Y
Massachusetts,2013,B,Y
Michigan,2015,R,Y
Minnesota,2008,B,Y
Mississippi,1989,R,N
Missouri,1992,R,N
Montana,2017,R,Y
Nebraska,2015,R,Y
Nevada,1992,B,N
New Hampshire,2013,B,Y
New Jersey,2016,B,Y
New Mexico,1993,B,Y
New York,2013,B,Y
North Carolina,2015,R,Y
North Dakota,2005,R,Y
Ohio,2003,R,Y
Oklahoma,1987,R,N
Oregon,2017,B,Y
Pennsylvania,2013,R,Y
Rhode Island,2015,B,Y
South Carolina,2017,R,Y
South Dakota,2015,R,Y
Tennessee,2017,R,Y
Texas,1991,R,N
Utah,2015,R,Y
Vermont,2013,B,Y
Virginia,2013,B,Y
Washington,2015,B,Y
West Virginia,2017,R,Y
Wisconsin,1997,R,Y
Wyoming,2013,R,Y